"Game_Number","Result","Color","Moves"
31,"0-1","White","1. g3 e6 2. Nf3 Nf6 3. Bh3 d5 4. Ne5 Qd6 5. d4 Nc6 6. Bf4 h6 7. Nxf7 Kxf7 8. Bxd6 cxd6 9. O-O a5 10. e4 Nxe4 11. Qh5+ g6 12. Qf3+ Nf6 13. Nd2 Nxd4 14. Qc3 Ne2+ 15. Kh1 Nxc3 16. bxc3 h5 17. Nf3 Bh6 18. Rab1 a4 19. Rfe1 Ne4 20. c4 Nxf2+ 21. Kg2 Nxh3 22. Kxh3 e5+ 23. Kg2 e4 24. Nd4 Re8 25. cxd5 Ra5 26. c4 e3 27. Rb6 Ra6 28. Rb5 b6 29. Rf1+ Kg7 30. a3 e2 31. Ne6+ Bxe6 32. dxe6 Rxe6 33. Re1 Bd2 34. Kf2 Bxe1+ 35. Kxe1 Ra5 36. Rxb6 Rf5 37. Rb7+ Kf6 38. c5 Rf1+ 39. Kd2 e1=Q+ 40. Kd3 Qe4+ 41. Kc3 Rf3+ 42. Kd2 Qe2+ 43. Kc1 Rf1#"
32,"1-0","White","1. e4 e5 2. f4 Bc5 3. fxe5 Kf8 4. Qf3 Nh6 5. Bc4 Qe7 6. Nh3 a6 7. d4 Bxd4 8. Bg5 Qb4+ 9. c3 Qxc4 10. Nd2 Qa4 11. b3 Qa3 12. cxd4 Qb2 13. Rd1 Qxd4 14. Nc4 Qc5 15. Qg3 Qb4+ 16. Bd2 Qe7 17. O-O Ke8 18. Qxg7 Qf8 19. Bxh6 Qxg7 20. Bxg7 Rg8 21. Bf6 Nc6 22. e6 fxe6 23. Ng5 d5 24. Nxh7 Nb4 25. Rd2 Bd7 26. Ne5 Bb5 27. Rc1 c6 28. exd5 exd5 29. Re1 a5 30. Nxc6+ Kd7 31. Nxb4 axb4 32. Rxd5+ Kc6 33. Rd4 Kb6 34. Rxb4 Rac8 35. Bd4+ Ka5 36. a3 Ba4 37. bxa4 b5 38. axb5 Rg4 39. b6 Rb8 40. Re5+ Ka6 41. Re7 Rxd4 42. Rxd4 Rxb6 43. Rde4 Rb1+ 44. Kf2 Rb2+ 45. Re2 Rb3 46. a4 Ra3 47. h4 Rxa4 48. h5 Rf4+ 49. Ke1 Rh4 50. Ra2+ Kb6 51. Rc2 Kb5 52. Rb7+ Ka6 53. Rb3 Rxh5 54. Nf6 Rg5 55. Ne4 Rxg2 56. Nc5+ Ka5 57. Nb7+ Ka4 58. Rbc3 Rxc2 59. Rxc2 Kb5 60. Kd2 Kb4 61. Kd3 Kb5 62. Nd6+ Kb6 63. Rc8 Ka7 64. Kc4 Kb6 65. Kb4 Ka6 66. Kc5 Ka7 67. Nb5+ Ka6 68. Rc7 Ka5 69. Ra7#"
33,"1-0","White","1. d4 d5 2. c4 Nf6 3. e3 e6 4. Qf3 dxc4 5. Bxc4 Bb4+ 6. Bd2 Bxd2+ 7. Nxd2 c6 8. Ne2 b5 9. Bb3 a5 10. a4 b4 11. Ne4 Qd5 12. Bxd5 cxd5 13. Nd6+ Kd7 14. Nxf7 Rf8 15. Ne5+ Ke8 16. Nc4 Nc6 17. Rc1 Ne4 18. Nb6 Rb8 19. Qh5+ g6 20. Qxh7 Nxf2 21. Qxg6+ Rf7 22. O-O Rxb6 23. Nf4 e5 24. Nxd5 Rb7 25. Rxf2 exd4 26. Rxc6 Rb8 27. Qxf7+ Kd8 28. Qe7#"
34,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 Be6 4. Nc3 c6 5. e4 b5 6. d5 cxd5 7. exd5 b4 8. Bxc4 bxc3 9. Qf3 Nd7 10. dxe6 Ne5 11. Bb5+ Nd7 12. Qxf7#"
35,"1-0","White","1. d4 Nf6 2. Nc3 d5 3. Nf3 e6 4. Ne5 Ne4 5. Nxe4 dxe4 6. e3 f6 7. Qh5+ Ke7 8. Ng6+ hxg6 9. Qxh8 Qd5 10. Be2 Nc6 11. Bd2 a5 12. c4 Qg5 13. O-O Qh6 14. Qxh6 gxh6 15. a3 g5 16. d5 Ne5 17. b4 Kd8 18. bxa5 b6 19. Bb4 Ke8 20. axb6 cxb6 21. c5"
36,"0-1","Black","1. e3 d5 2. d4 Nc6 3. Nc3 Bf5 4. Nf3 Nb4 5. Bd3 Qd7 6. a3 Nxd3+ 7. cxd3 f6 8. Qb3 c6 9. Na4 e5 10. dxe5 b5 11. Nc5 Bxc5 12. d4 Be7 13. exf6 Bxf6 14. Bd2 Ne7 15. Bb4 a5 16. Bxe7 a4 17. Qc2 Bxc2 18. O-O Qxe7 19. g3 O-O 20. Rac1 Bf5 21. Rxc6 Bh3 22. Rfc1 Qe4 23. Ne1 h5 24. b4 Rac8 25. Rxc8 Bxc8 26. f3 Qxe3+ 27. Kf1 Qxc1 28. g4 Bxd4 29. gxh5 Re8 30. h6 Bh3#"
37,"0-1","Black","1. e4 d5 2. d3 e5 3. h3 Bc5 4. g3 Qf6 5. Nf3 Nc6 6. Ng5 Qxf2#"
38,"1-0","White","1. d4 e6 2. c4 Bb4+ 3. Bd2 a5 4. c5 Qg5 5. Nf3 Qh6 6. a3 Bxd2+ 7. Nbxd2 Nc6 8. e3 a4 9. Ne5 Nxe5 10. dxe5 b6 11. c6 dxc6 12. Ne4 Bd7 13. Nd6+ Ke7 14. Qd2 b5 15. Rd1 Kf8 16. Qb4 Ne7 17. Nb7 g6 18. Rxd7 Re8 19. Rxc7 Kg7 20. Rxe7 Rxe7 21. Qxe7 g5 22. Nd6 Rf8 23. Ne8+ Kh8 24. g3 g4 25. Bg2 f5 26. O-O Kg8 27. Nf6+ Qxf6 28. exf6 Rf7 29. Qxe6 h5 30. Rd1 Kh7 31. Qxf7+ Kh6 32. Qg7#"
39,"0-1","Black","1. e3 e5 2. Qf3 f6 3. Bc4 Ne7 4. d4 d5 5. Bb3 Nbc6 6. Ba4 Bd7 7. Nh3 Nb4 8. Bxd7+ Qxd7 9. c3 Nc2+ 10. Kd1 Nxa1 11. b4 Qa4+ 12. Ke1 Qxa2 13. Qd1 Qxb1 14. f4 Nc2+ 15. Kd2 Nf5 16. Qxc2 Qxc2+ 17. Kxc2 exd4 18. cxd4 Bxb4 19. Nf2 c5 20. Nd3 Rc8 21. Kb3 a5 22. Ka4 Nd6 23. Ba3 b5+ 24. Kb3 c4+ 25. Ka2 cxd3 26. Kb3 Rc3+ 27. Kb2 Nc4+ 28. Ka2 Rxa3+ 29. Kb1 Nd2+ 30. Kc1 Ra1+ 31. Kb2 Rxh1 32. g3 Rxh2"
40,"0-1","Black","1. e4 e5 2. Qf3 Bc5 3. g3 Nc6 4. c3 Nf6 5. d3 O-O 6. Bh3 d5 7. Bxc8 dxe4 8. dxe4 Rxc8 9. Bd2 Nd4 10. Qd3 Ng4 11. Be3 Qf6 12. Nh3 Qf3 13. Rf1 b5 14. Nd2 Qg2 15. O-O-O Qxh3 16. f3 Nxe3 17. Qxe3 Nb3+ 18. Nxb3 Bxe3+ 19. Kb1 Qxh2 20. Rfe1 Qf2 21. a4 Rcd8 22. Ka2 Rxd1 23. Rxd1 Qxf3 24. axb5 Qxe4 25. b6 Qa4+ 26. Kb1 axb6 27. Kc2 g6 28. Re1 Qe4+ 29. Kd1 Rd8+ 30. Ke2 Bd2+ 31. Kf2 Bxe1+ 32. Kg1 Qe2 33. Nc1 Bf2+ 34. Kh2 Be3+ 35. Nxe2 Rd2 36. Kg2 Rxe2+ 37. Kf3 Rxb2 38. Kxe3 Rb3 39. Kd3 c5 40. Kc2 c4 41. g4 e4 42. Kd2 f5 43. g5 f4 44. Kc2 e3 45. Kd1 f3 46. Kc2 f2 47. Kd1 f1=Q+ 48. Kc2 Qb1#"
41,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 b5 4. Qh5 a6 5. Na3 Nf6 6. Qf3 Qd5 7. Be2 Qxf3 8. Bxf3 c6 9. b4 Bg4 10. Bb2 Bxf3 11. Nxf3 e6 12. Nc2 Bd6 13. g3 O-O 14. O-O a5 15. a3 axb4 16. Nxb4 Bxb4 17. axb4 Rxa1 18. Rxa1 Ne4 19. d5 cxd5 20. Bd4 Nd7 21. Ra7 Rd8 22. Ne5 Nxe5 23. Bxe5 Nd2 24. Kg2 Nb1 25. Bc7 Re8 26. Ra5 c3 27. Rxb5 c2 28. Rc5 Na3 29. Be5 f6 30. Bb2 Nb1 31. Rxc2 e5 32. b5 d4 33. b6 d3 34. Rc1 Nd2 35. b7 Nb3 36. Rc8 Rxc8 37. bxc8=Q+ Kf7 38. Qc4+ Kg6 39. Qxd3+ Kf7 40. Qxb3+ Kg6 41. f4 exf4 42. exf4 h5 43. Qb6 Kf5 44. Qc5+ Kg4 45. h3#"
42,"0-1","White","1. d4 d5 2. c4 e6 3. e3 Bb4+ 4. Bd2 Bd6 5. Qf3 f6 6. Bd3 g6 7. Nc3 Ne7 8. Qxf6 Rf8 9. Qg7 Kd7 10. Qxh7 Nc6 11. Bxg6 Nb4 12. Nge2 Nc2+ 13. Bxc2 c6 14. Qh3 Nf5 15. cxd5 Ke8 16. Nf4 exd5 17. Ng6 Nxd4 18. Bf5 Bxf5 19. g4 Bxg6 20. O-O-O Rxf2 21. Qh8+ Rf8 22. Qxd4 Qb6 23. Qg7 Bf7 24. h4 Ba3 25. bxa3 d4 26. Qe5+ Kd7 27. exd4 Rae8 28. Qg7 Qa5 29. h5 Qxa3+ 30. Kc2 b5 31. h6 b4 32. h7 Kd8 33. h8=Q b3+ 34. Kd3 Qa6+ 35. Nb5 Qxb5+ 36. Kc3 Qc4+ 37. Kb2 Qc2+ 38. Ka3 Qxa2+ 39. Kb4 c5+ 40. Kxc5 Qc2+ 41. Kb4 a5+ 42. Kxa5 Qa2+ 43. Kb4 Kd7 44. Qh3 Rb8+ 45. Kc5 Qa7#"
43,"0-1","Black","1. e4 d5 2. f3 e5 3. g4 Qf6 4. h3 Qh4+ 5. Ke2 dxe4 6. Qe1 exf3+ 7. Nxf3 Qf6 8. d3 Bc5 9. Be3 Qb6 10. b3 Bxe3 11. Nxe5 Qd4 12. Nc3 Qxe5 13. Bg2 Bd4+ 14. Kd1 Bxc3 15. Qxe5+ Bxe5 16. Re1 Nc6 17. d4 Be6 18. dxe5 O-O-O+ 19. Kc1 Nge7 20. Kb2 Rd2 21. Be4 Rhd8 22. Bd3 R8xd3 23. Red1 Nxe5 24. Rxd2 Rxd2 25. Re1 f6 26. Kc3 Rd5 27. Kb4 N7c6+ 28. Ka3 b5 29. Kb2 b4 30. Re2 a5 31. g5 f5 32. h4 f4 33. h5 Rd1 34. g6 h6 35. c3 f3 36. Rf2 Nd3+ 37. Kc2 Nxf2 38. a3 Bf5+ 39. Kb2 Rd2+ 40. Kc1 bxc3 41. b4 Nd3+ 42. Kb1 f2 43. bxa5 f1=R#"
44,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 Be6 4. Qf3 c6 5. Nh3 Bd5 6. e4 Be6 7. Ng5 Nf6 8. Nxe6 Qd7 9. Bxc4 b5 10. Bf4 fxe6 11. Bb3 Qxd4 12. Nd2 Qxb2 13. O-O e5 14. Rab1 Qa3 15. Bxe5 Qc5 16. Bc7 Na6 17. Rbc1 Qb4 18. Qd3 Nxc7 19. a3 Qa5 20. Rxc6 Rd8 21. Bf7+ Kxf7 22. Qxd8 Qxa3 23. Rxc7 Ne8 24. Qd5+ Kg6 25. Qf5+ Kh6 26. Nf3 g6 27. Rc6 Nf6 28. Qg5+ Kg7 29. h4 h6 30. Qe5 b4 31. Ra1 Qc3 32. Rxc3 bxc3 33. Qxc3 h5 34. Rxa7 Rg8 35. Ng5 Rh8 36. f4 Rg8 37. f5 gxf5 38. exf5 Kh8 39. g4 hxg4 40. Ne6 g3 41. Nxf8 Rxf8 42. Rxe7 Kg8 43. Qxg3+ Kh8 44. Qg7#"
45,"1-0","White","1. g3 e5 2. Nf3 f6 3. Bh3 d6 4. g4 h6 5. Nh4 Ne7 6. d4 e4 7. c4 c6 8. Qa4 Qb6 9. d5 Bd7 10. dxc6 Bxc6 11. Be3 Qa6 12. Qb4 g5 13. Qxd6 Qa5+ 14. Bd2 Qd8 15. Qxf6 Rg8 16. Nf5 Nxf5 17. Qxf5 Be7 18. Qe6 Na6 19. Qxg8+ Kd7 20. Qg7 e3 21. Bxe3 Rc8 22. O-O b6 23. Rd1+ Ke6 24. Rxd8 Rxd8 25. Nc3 Nb4 26. Qxh6+ Kd7 27. f4 Nc2 28. Rd1+ Kc7 29. Rxd8 Kxd8 30. Qxc6 Nxe3 31. fxg5 Bxg5 32. Qa8+ Kc7 33. Nb5+ Kd7 34. Qxa7+ Kc8 35. Nd6+ Kd8 36. Nf7+ Kc8 37. Nxg5 Nxc4 38. Nf7 b5 39. g5#"
46,"1-0","Black","1. e4 d5 2. e5 d4 3. d3 e6 4. Nh3 Bb4+ 5. Bd2 Nc6 6. a3 Nxe5 7. Bxb4 Qf6 8. Nd2 Ng4 9. Qxg4 e5 10. Qh5 e4 11. Qc5 Ne7 12. Qb5+ c6 13. Qh5 exd3 14. cxd3 g6 15. Qe2 Be6 16. Ne4 Qg7 17. Nd6+ Kd7 18. Nf4 Bb3 19. Nxb7 Nd5 20. Nxd5 Rhe8 21. Be7 Bxd5 22. Nc5+ Kc7 23. b4 f5 24. Qd1 Qxe7+ 25. Be2 Bxg2 26. Rg1 Bf3 27. Ra2 a5 28. Kf1 Bd5 29. Rb2 axb4 30. axb4 f4 31. f3 Qh4 32. b5 Kd6 33. Nb7+ Ke7 34. b6 Kf6 35. Nc5 Re3 36. Rg2 Qh3 37. b7 Rae8 38. b8=Q Bxf3 39. Qxf4+ Kg7 40. Rb7+ R8e7 41. Bxf3 Rxb7 42. Nxb7 Qd7 43. Nc5 Qe7 44. Qxd4+ Re5 45. Bxc6 Qxc5 46. Qd7+ Re7 47. Qc8 Rf7+ 48. Ke1 Qe3+ 49. Re2 Qg1+ 50. Kd2 Qg5+ 51. Re3 Rf2+ 52. Qe2 Rxe2+ 53. Kxe2 Qh5+ 54. Bf3 Qxh2+ 55. Kf1 Qd2 56. Qc7+ Kh6 57. Qf4+ g5 58. Qf6#"
47,"0-1","Black","1. e4 e5 2. Bd3 Qf6 3. Nh3 Bc5 4. c3 d5 5. Qf3 dxe4 6. Bxe4 Bxh3 7. gxh3 Qh4 8. Kd1 c6 9. Kc2 Nf6 10. Bd3 O-O 11. b4 e4 12. Qe2 exd3+ 13. Qxd3 Bxf2 14. Na3 Nbd7 15. Qe2 Rfe8 16. Qf3 Ne5 17. Qe2 b5 18. d4 Nc4 19. Qd3 Ne3+ 20. Bxe3 Rxe3 21. Qd2 Ne4 22. Qd1 Rxc3+ 23. Kb2 Qxh3 24. Nc2 Rc4 25. a3 Qc3+ 26. Kc1 Qxa1#"
48,"1-0","White","1. d4 e6 2. c4 Bb4+ 3. Bd2 a5 4. e3 g6 5. d5 e5 6. Bc3 f6 7. Nf3 Nh6 8. Nxe5 Bxc3+ 9. Nxc3 c6 10. Ng4 Nf5 11. dxc6 bxc6 12. Bd3 d6 13. O-O Nh4 14. Be4 Bxg4 15. Qxg4 f5 16. Bxf5 Nxf5 17. Qe4+ Qe7 18. Rad1 Kd7 19. Qf3 Na6 20. Na4 Rab8 21. c5 Rhf8 22. Nb6+ Rxb6 23. cxb6 Rb8 24. Rd3 Rxb6 25. Rfd1 d5 26. Qg4 Nb4 27. Rd4 Qe6 28. Re4 Qxe4 29. Qxe4 Kc7 30. Qe5+ Nd6 31. Qg7+ Kb8 32. Qxh7 Rb7 33. Qxg6 Nc4 34. e4 Ne5 35. Qd6+ Ka7 36. Qxe5 c5 37. exd5 c4 38. d6 Rd7 39. Qc5+ Kb7 40. Qb5+ Kc8 41. Qxc4+ Kb7 42. Qb5+ Kc8 43. Qxa5 Nc6 44. Qa8+ Nb8 45. Rc1+ Kd8 46. Qxb8#"
49,"1-0","White","1. d4 d5 2. c4 e6 3. e3 Bb4+ 4. Bd2 a5 5. Qf3 c5 6. cxd5 exd5 7. Bc3 a4 8. dxc5 Bxc5 9. Bxg7 Bb4+ 10. Nc3 a3 11. Bxh8 axb2 12. Rd1 Bxc3+ 13. Bxc3 Rxa2 14. Rxd5 Nd7 15. Bb5 b1=Q+ 16. Rd1 Qxb5 17. Bd2 Ne5 18. Qg3 Bg4 19. Nf3 Qb2 20. O-O Nxf3+ 21. gxf3 Be6 22. Qxg8+ Kd7 23. Ba5+ Kc6 24. Qxd8 Qg7+ 25. Kh1 Qe5 26. Qb6#"
50,"1-0","White","1. d4 d5 2. c4 e5 3. e3 e4 4. Bd2 Nc6 5. Nc3 Nh6 6. Nxd5 Be6 7. Nc3 Bd6 8. d5 Bxd5 9. cxd5 Ne5 10. Qa4+ Nd7 11. Bb5 O-O 12. Bxd7 a6 13. Bh3 b5 14. Qxe4 Re8 15. Qd3 c5 16. dxc6 Be5 17. Bd7 b4 18. Nd5 a5 19. Bxe8 Qd6 20. Bd7 a4 21. Bxb4 Qb8 22. Bc8 Qxc8 23. Ne7+ Kf8 24. Nxc8+ Ke8 25. Ne7 g6 26. Nc8 Rxc8 27. Qd7#"
