"Game_Number","Result","Color","Moves"
11,"0-1","Black","1. e3 c5 2. d3 d5 3. d4 c4 4. Nc3 Nc6 5. Nf3 Nf6 6. Ng5 Be6 7. Qf3 Qa5 8. a3 Bg4 9. Qg3 Bh5 10. Be2 Bg6 11. b4 Nxb4 12. axb4 Qxa1 13. Kd2 Ne4+ 14. Ngxe4 dxe4 15. Bxc4 a6 16. Nd5 Rc8 17. Nb6 Rd8 18. Qc7 e6 19. Qxb7 Bxb4+ 20. Kd1 Bh5+ 21. Be2 Rxd4+ 22. exd4 Qxd4+ 23. Bd2 Qxd2#"
12,"1-0","White","1. d4 d5 2. c4 dxc4 3. Nf3 Nc6 4. e3 e6 5. Bxc4 Bb4+ 6. Bd2 Qd6 7. O-O Ba5 8. Nc3 Bxc3 9. Bxc3 Nf6 10. Qa4 Ng4 11. g3 a6 12. Ne5 O-O 13. Nxg4 Bd7 14. Qb3 b5 15. d5 bxc4 16. Qxc4 exd5 17. Qf4 Bxg4 18. Qxg4 Na7 19. Qxg7#"
13,"0-1","Black","1. e4 c5 2. Bc4 e6 3. Qg4 Nf6 4. Qf4 Nc6 5. c3 d5 6. exd5 Bd6 7. Qg5 g6 8. g3 Ne4 9. Qxd8+ Nxd8 10. f3 Nf6 11. d3 a6 12. Bg5 Be7 13. Nh3 O-O 14. Bh6 Re8 15. O-O exd5 16. Bb3 b5 17. c4 Bxh3 18. Re1 Ne6 19. Nd2 Nd4 20. Bd1 bxc4 21. Ba4 Nb5 22. dxc4 dxc4 23. Nxc4 Nd5 24. Rad1 Nd4 25. Kf2 Reb8 26. Bc6 Nxc6 27. Rxd5 Rb4 28. b3 Rd8 29. Rxe7 Rbb8 30. Rxd8+ Rxd8 31. Rc7 Bd7 32. Nb6 Ne5 33. Ke3 Bg4 34. Bg5 Rd3+ 35. Kf4 Rxf3+ 36. Kxe5 Rf5+ 37. Ke4 Rxg5 38. Kf4 Rh5 39. Kxg4 Rxh2 40. Rc8+ Kg7 41. Nd5 f5+ 42. Kf3 g5 43. Rc7+ Kf8 44. Rxc5 Rxa2 45. Nb4 Ra3 46. Rc3 h5 47. Nc2 Ra5 48. Rc8+ Kf7 49. Rc7+ Kf6 50. Nd4 Ra2 51. Rc6+ Ke5 52. Rc4 Rd2 53. Nc6+ Kd5 54. Nb4+ Ke5 55. Rc5+ Kd6 56. Rxf5 g4+ 57. Ke3 Rg2 58. Rxh5 Rxg3+ 59. Kf4 Rxb3 60. Nxa6 g3 61. Rh6+ Kd5 62. Nc7+ Kc5 63. Ne6+ Kd5 64. Nd8 g2 65. Rg6 Rb2 66. Nf7 Rf2+ 67. Kg3 g1=Q+ 68. Kh4 Rh2#"
14,"0-1","Black","1. e3 e5 2. d4 Nc6 3. Nf3 e4 4. Nfd2 d5 5. Bb5 Nf6 6. Bxc6+ bxc6 7. b3 Bg4 8. f3 exf3 9. gxf3 Bh5 10. Bb2 Ne4 11. Nc3 Qh4+ 12. Ke2 Nf2 13. Qf1 Nxh1 14. Qxh1 Bd6 15. Nf1 O-O 16. Re1 Rae8 17. Kd1 Bf4 18. Kc1 Qxe1+ 19. Nd1 Bxe3+ 20. Kb1 Qxd1+ 21. Bc1 Qxc1#"
15,"0-1","White","1. d4 d5 2. c4 dxc4 3. e3 Be6 4. Qa4+ c6 5. Nc3 b5 6. Nxb5 cxb5 7. Qxb5+ Nd7 8. d5 Bg4 9. Qxc4 Bf5 10. e4 Nb6 11. Qc6+ Qd7 12. Qxa8+ Nxa8 13. exf5 Qxf5 14. Bb5+ Kd8 15. Bd2 Qxd5 16. Ba5+ Kc8 17. Rc1+ Kb7 18. Bc6+ Qxc6 19. Rxc6 Kxc6 20. Ne2 Kb5 21. b4 e6 22. a3 Nf6 23. Nc3+ Kc4 24. b5 Bxa3 25. O-O Nd5 26. Ra1 Bb2 27. Ra4+ Kb3 28. Rg4 Bxc3 29. Bxc3 Nxc3 30. Rg3 g6 31. h4 Rc8 32. h5 gxh5 33. Kh2 Kb4 34. Rg5 Rc5 35. f4 Kxb5 36. Rg7 f5 37. Rxh7 a5 38. Re7 Rc6 39. Rh7 Ne2 40. g3 Rc3 41. Rb7+ Ka4 42. Rg7 Nb6 43. Rg6 Re3 44. Kg2 Kb3 45. Kf2 Re4 46. Kf3 Rc4 47. Kxe2 Rc2+ 48. Kd3 a4 49. Kd4 a3 50. Rxe6 Rc4+ 51. Ke5 Rc5+ 52. Kd6 Kb4 53. Re5 Rc4 54. Rxf5 a2 55. Rc5 Rxc5 56. g4 hxg4 57. f5 a1=Q 58. Ke6 Rc6+ 59. Ke7 Qe1+ 60. Kd8 Qe5 61. f6 Qxf6+ 62. Ke8 Rc8#"
16,"0-1","White","1. c4 e5 2. d4 Bb4+ 3. Bd2 a5 4. Qa4 c6 5. Bxb4 b5 6. cxb5 Qb6 7. e3 cxb5 8. Bxb5 Nc6 9. a3 Nf6 10. Ne2 Ba6 11. Nbc3 axb4 12. axb4 O-O 13. d5 Bxb5 14. Qxa8 Rxa8 15. Rxa8+ Nb8 16. Nxb5 Qxb5 17. Nc3 Qxb4 18. O-O Kf8 19. Rd1 Qxb2 20. d6 g5 21. Rb1 Qxc3 22. Rbxb8+ Kg7 23. g3 g4 24. Rc8 Qe1+ 25. Kg2 h5 26. h4 Qd1 27. Ra7 Qxd6 28. Rca8 Qd5+ 29. Kf1 Qd1+ 30. Kg2 Qf3+ 31. Kf1 Qh1+ 32. Ke2 Qf3+ 33. Ke1 d5 34. Re7 Qe4 35. Raa7 Qh1+ 36. Ke2 Qf3+ 37. Kd3 Qf5+ 38. Kd2 Ne4+ 39. Kc1 Nd6 40. Rad7 Qxf2 41. Rxd6 Qxe3+ 42. Kc2 Qc5+ 43. Kd3 Qxd6 44. Ra7 e4+ 45. Kd4 Qb6+ 46. Kxd5 Qxa7 47. Ke5 Qe7+ 48. Kf4 e3 49. Kf5 e2 50. Kf4 e1=Q 51. Kf5 Qf6#"
17,"0-1","Black","1. e4 d5 2. exd5 Qxd5 3. Nc3 Qe6+ 4. Be2 c6 5. Nf3 Nd7 6. Ng5 Qf6 7. d3 e5 8. Nge4 Qg6 9. g3 Ndf6 10. Nxf6+ Nxf6 11. Bh5 Nxh5 12. Qe2 Bd6 13. Ne4 Bg4 14. f3 Bh3 15. Ng5 e4 16. Nxh3 Bxg3+ 17. hxg3 Nxg3 18. Qg2 Nxh1 19. Qxh1 Qg3+ 20. Kf1 exf3 21. Bf4 Qg2+ 22. Qxg2 fxg2+ 23. Kxg2 O-O 24. Re1 b5 25. b4 a5 26. a3 axb4 27. axb4 Ra2 28. Re2 Rb2 29. Bd6 Rd8 30. Ng5 h6 31. Ne4 f5 32. Be5 Rxb4 33. Nf2 Rh4 34. Bg3 Rh5 35. c3 Rg5 36. d4 f4 37. Ne4 Re8 38. Kf3 fxg3 39. Nxg5 Rxe2 40. Kxe2 hxg5 41. Kf3 Kf7 42. Kxg3 Kf6 43. Kf3 Kf5 44. Ke3 g4 45. Kf2 Kf4 46. Kg2 g3 47. Kg1 g5 48. Kg2 g4 49. Kg1 Ke3 50. Kg2 Kd3 51. Kxg3 Kxc3 52. Kxg4 Kxd4 53. Kf3 Kd3 54. Kf2 b4 55. Ke1 b3 56. Kd1 b2 57. Ke1 b1=Q+ 58. Kf2 Qb8 59. Kf3 Qe5 60. Kg2 Qe3 61. Kh2 Ke2 62. Kg2 Qf3+ 63. Kg1 Qg4+ 64. Kh2 Kf2 65. Kh1 Qg2#"
18,"0-1","Black","1. e4 d5 2. f3 e6 3. Qe2 Bc5 4. Qb5+ Nd7 5. Qe2 b6 6. exd5 e5 7. d3 Qh4+ 8. g3 Qd4 9. Nc3 Ba6 10. Be3 Qb4 11. a3 Qxb2 12. Ra2 Qxc3+ 13. Bd2 Qd4 14. f4 Qxd5 15. Nf3 Qxa2 16. Nxe5 Qa1+ 17. Qd1 Bf2+ 18. Ke2 Qd4 19. Bg2 Nxe5 20. Bxa8 Bxd3+ 21. cxd3 Nxd3 22. Be1 Qe3+ 23. Kf1 Bxe1 24. Qe2 Bf2 25. Be4 Qc1+ 26. Kg2 Nxf4+ 27. Kxf2 Qc5+ 28. Qe3 Ne6 29. Rc1 Qxe3+ 30. Kxe3 Nf6 31. Bc6+ Ke7 32. g4 Nxg4+ 33. Ke2 Nxh2 34. Bd5 Nf4+ 35. Kf2 Nxd5 36. Re1+ Kd6"
19,"0-1","Black","1. e4 e5 2. Nh3 Bc5 3. g3 Qf6 4. Qe2 d5 5. d3 Nh6 6. Bg5 Bxf2+ 7. Kd2 Qb6 8. b3 dxe4 9. Nxf2 Bf5 10. Be3 c5 11. dxe4 Qd6+ 12. Qd3 Qd7 13. Bxc5 Na6 14. Ba3 Qd4 15. Qxd4 exd4 16. exf5 Nxf5 17. Bd3 g6 18. Re1+ Ne3 19. Bb5+ Kd8 20. Ne4 Nf5 21. Nf6 Nc7 22. Re8+ Nxe8 23. Bxe8 Kc7 24. Nd5+ Kd8 25. Bxf7 Nh6 26. Be6 Re8 27. Be7+ Rxe7 28. Nxe7 Kxe7 29. Bc4 Nf5 30. Na3 Kd6 31. Kd3 Re8 32. Kd2 a6 33. b4 b5 34. Bd3 Re3 35. Bxf5 gxf5 36. Re1 f4 37. gxf4 Rxa3 38. f5 Rh3 39. Kc1 Rxh2 40. c3 Rxa2 41. Kb1 Rf2 42. Re6+ Kd7 43. Re5 dxc3 44. Kc1 h5 45. Kd1 c2+ 46. Kc1 h4 47. Rc5 h3 48. Rd5+ Ke7 49. f6+ Kxf6 50. Rh5 h2 51. Rxh2 Rxh2 52. Kb2 Ke5 53. Kc1 Kd4 54. Kb2 Kc4 55. Kc1 Kd3 56. Kb2 Rh1 57. Kb3 c1=Q 58. Ka2 Rh2+ 59. Kb3 Qb2#"
20,"0-1","Black","1. e3 e5 2. d4 d6 3. d5 Nf6 4. c4 Ne4 5. Be2 Qf6 6. Nf3 Qg6 7. O-O Bh3 8. Nh4 Be7 9. Nxg6 hxg6 10. gxh3 Rxh3 11. Bd3 f5 12. f3 Ng5 13. Nc3 Nd7 14. Qa4 Nxf3+ 15. Kg2 Ng5 16. Qb4 O-O-O 17. e4 Rxd3 18. exf5 Rf8 19. h4 Nh3 20. fxg6 Bxh4 21. Rh1 Rf2#"
